Site,Sample Station (SS) - LOCATION DESCRIPTION,X - Coordinate,Y - Coordinate
1S03,"SS - Shaft 3 of City Tunnel No.1 - E/S Goulden Ave, S/O Sedgwick Ave, OPP JPR GH7",1024950,264277
1S04,"SS - Shaft 4 of City Tunnel No.1 - IFO 2780 Reservoir Ave, E/S Reservoir Ave, 1st SS N/O Strong St (@ intersection of Reservoir Ave & Goulden)",1012568,256577
1S03A,"SS - Shaft 3A of City Tunnel No.2 - S/S E 233rd St, W/O Bronxwood Ave IFO 862 E 233rd St.",1024721,264392
1S07,"SS - Shaft 7 of City Tunnel No.1 - NE/S W 167th St, 1st SE/O Sedgwick Ave IFO 1260 Sedgwick Ave",1004013,245233
1S03B,"SS - Shaft 3B of City Tunnel No.3 - W/S Jerome Ave, S/O access road to Mosholu Golf Course (SW corner of entrance to park)",1014949,260688
1SCL1,"Jerome Park Reservoir (W205th St & Goulden Ave, Bx) - Croton Distribution Chamber - low pressure service tunnel, Tap in Gatehouse #5, treated water",1013921,259223
1SCH1,"Jerome Park Reservoir (W205th St & Goulden Ave, Bx) - Croton Distribution Chamber - high pressure service tunnel, Tap #1 in Gatehouse #5, treated water",1013921,259223
1SCH2,"Jerome Park Reservoir (W205th St & Goulden Ave, Bx) - Croton Distribution Chamber - high pressure service tunnel, Tap #2 in Gatehouse #5, treated water",1013921,259223
1SCH3,"Jerome Park Reservoir (W205th St & Goulden Ave, Bx) - Croton Distribution Chamber - high pressure service tunnel, Tap #3 in Gatehouse #5, treated water",1013921,259223
1SCH4,"Jerome Park Reservoir (W205th St & Goulden Ave, Bx) - Croton Distribution Chamber - high pressure service tunnel, Tap in Gatehouse #5, treated water",1013921,259223
10150,"SS - W/S Zerega Ave, 1st SS S/O Hermany Ave, 12"" OPP NYC Sanitation",1027625,239952
10250,"SS - W/S Nelson Ave, 1st SS N/O W 168th St (OPP school-1248 Nelson Ave), 12""",1005082,244866
10550,"SS - W/S Stadium Ave, 1St SS N/O Randolph Pl, 12""",1033944,246040
10750,"SS - N/S Bartow Ave, 2nd SS W/O Co-op City Blvd, 20""",1031623,256138
10850,"SS - E/S Riverdale Ave, 1st SS S/O W 260th St (IFO church), OPP 5977 Riverdale Ave, 12""",1010873,270095
11050,"SS - IFO 1675 W/S University Ave, 2nd SS S/O W 176th St, IFO 1669 University Ave, 12""",1006824,248454
11150,"SS - IFO 71E N/S E 183rd St, 1st SS W/O Morris Ave, 12""",1011330,251963
11250,"SS - IFO 925 N/S E Tremont Ave, 1st SS E/O Daly Ave, 20""",1016434,245999
11350,"SS - W/S Metropolitan Ave, 2nd SS N/O Parkchester Rd (IFO Macy's), 20""",1022677,244011
11450,"SS - IFO 920 S/S Co - op City Blvd, 2nd SS W/O Dreiser Loop, 20""",1031142,259322
11550,"SS - IFO 1058 S/S E Gun Hill Rd, 1st SS E/O Hone Ave, 12""",1023792,257836
11750,"SS - IFO 250 E/S City Island Ave, BTW Carroll & Schofield Sts, 20""",1043521,247419
11900,"SS - S/S E 177th St, BTW Walton & Morris Aves, 36""",1009464,248889
12000,"SS - OPP 1540 W/S Jerome Ave, 1st SS S/O Goble Pl, 48""",1007590,246530
12150,"SS - IFO 963 N/S E 233rd St, 2nd SS W/O Gunther Ave, 12""",1025842,263931
12250,"SS - OPP 1134 N/S E 225th St, 2nd SS W/O Schieffelin Ave, 12""",1026480,261194
12550,"SS - IFO 352 S/S E Gun Hill Rd, 1st SS W/O Decatur Ave, 20""",1019445,259431
13050,"SS - IFO 2431 W/S Eastchester Rd, 2nd SS S/O Mace Ave, 12""",1027551,253340
13150,"SS - IFO 2805 W/S Grand Concourse, 2nd SS S/O E 197th St, 20""",1014019,255932
13350,"SS - N/S E Fordham Rd, 1st SS E/O Washington Ave, 20""",1015047,252761
13550,"SS - IFO 2015 W/S University Ave, 1st SS S/O W 180th St, 12""",1008924,250942
13600,"SS - E/S Southern Blvd, BTW E 180th & E 181st Sts, 36""",1016282,247551
13700,"SS - W/S Southern Blvd, BTW Garden & E 182nd Sts, 48""",1016626,248602
13850,"SS - IFO 1778 E/S Jerome Ave, 1st SS S/O E 176th St, 12""",1008681,248387
13900,"SS - S/S E 180th St, BTW Webster & Valentine Aves, IFO School 48""",1012181,249738
14000,"SS - IFO 960 S/S E 156th St, BTW Kelly & Beck Sts, 48""",1012057,236583
14100,"SS -OPP 1540 W/S Jerome Ave, 2nd SS S/O Goble Pl, 48""",1007582,246514
14200,"SS - E/S Southern Blvd, BTW E 172nd & E 173rd Sts, OPP 1571 Southern Blvd, 36""",1015030,243659
14350,"SS - OPP 3748 W/S Third Ave, 1st SS N/O St Paul's Pl, 20""",1011164,243988
14450,"SS - OPP 958 W/S Gerard Ave, 2nd SS S/O E 164th St, 12""",1005321,241483
14650,"SS - E/S Concourse Village East, 1st SS N/O E 158th St, 12""",1006655,239592
14850,"SS - W/S Jackson Ave, 1st SS S/O St Mary's St, 20""",1008919,233877
14950,"SS - N/S E 135th St, 2nd SS W/O Willis Ave, 12""",1004935,233559
15050,"SS - W/S Trinity Ave, 2nd SS S/O E 163rd St (IFO school), 16""",1010196,238892
15150,"SS - IFO 1420 E/S Grand Concourse, 1st SS S/O E 171st St, 12""",1008300,245099
15250,"SS - IFO 4315 W/S Third Ave, 1st SS N/O E 179th St, 20""",1013358,248845
15300,"SS - W/S Bailey Ave, BTW W 231st & W 233rd Sts, 48""",1011253,259260
15450,"SS - IFO 79E N/S East Gun Hill Rd, 1st SS W/O Rochambeau Ave, IFO 83 E. Gun Hill Rd, 20""",1017550,260554
15550,"SS - IFO 2499 W/S Grand Ave, 1st SS S/O W 190th St, OPP 24-84 Grand Ave 12""",1011297,254171
16150,"SS - W/S Bronxdale Ave, 2nd SS S/O Rhinelander Ave, 12""",1022864,248301
16250,"SS - IFO 251 N/S E 204th St, 1st SS E/O Valentine Ave, 12""",1016202,257822
16450,"SS - IFO 3902 E/S White Plains Rd, 1st SS N/O E 222nd St, 20""",1022580,262068
16650,"SS - IFO 1541 N/S Westchester Ave, BTW Boynton & Ward Aves,  20""",1018029,241253
16950,"SS - W/S Westchester Ave, 1st SS N/O St Peters Ave, 20""",1027285,244910
17050,"SS - IFO 4740 E/S White Plains Rd, 1st SS N/O St Ouen St, 20""",1025828,268839
17250,"SS - N/S Allerton Ave, 1st SS E/O Throop Ave, 12""",1025509,254616
17350,"SS - N/S W 232nd St, 1st SS E/O Arlington Ave, 12""",1008514,261350
17450,"SS - IFO 2548 E/S White Plains Rd, 2nd SS N/O Mace Ave, 20""",1020965,254176
17550,"SS - IFO 309 N/S E 149th St, 2nd SS W/O Courtlandt Ave, 12""",1006168,236943
17650,"SS - IFO 1871 N/S Lafayette Ave, 1st SS W/O Underhill Ave, 12""",1022842,238715
17750,"SS - IFO 835 W/S Hunts Point Ave, 1st SS S/O Gilbert Pl, 12""",1015077,237136
17950,"SS - W/S Kingsbridge Ave, 1st SS N/O W 232nd St, 12""",1010441,260348
18000,"SS -S/S of Westbound Bronx & Pelham Pkwy, on Center Median W/O Eastchester Rd, 36""",1026261,251872
18100,"SS - IFO 2208 S/S Starling Ave, BTW Castle Hill & Glebe Aves, 48""",1025309,244013
18200,"SS - IFO 653 E/S River Ave, BTW E 150th & E 151st Sts, 36""",1003933,238872
18300,"SS - E/S Southern Blvd, BTW St Mary's & E 142nd Sts, 36""",1009738,233525
18450,"SS - W/S West Farms Rd, 2nd SS S/O E 167th St, OPP 1096 West Farms Rd, 12""",1014529,240306
18500,"SS - S/S E 164th St, BTW River & Gerard Aves, 48""",1005303,241864
18650,"SS - N/S Dewey Ave, BTW Quincy & Swinton Aves, 12""",1033436,238573
18750,"SS - IFO 4977 W/S Henry Hudson Pkwy, 2nd SS S/O W 252nd St, 20""",1009639,266491
18800,"SS - IFO 750 S/S E 169th St, BTW Boston Rd & Tinton Ave, 36""",1011911,242028
19000,"SS - IFO 758 S/S E 233rd St, BTW Barnes & Byron Aves, 1st E/O Byron Ave 48""",1024284,264511
20050,"SS - N/S Ave U, 1st SS W/O E 65th St, 12""",1008686,163991
20150,"SS - E/S W 23rd St, 1st SS N/O Mermaid Ave, 12""",987006,149279
20300,"SS - N/S Luquer St, BTW Columbia &  Hicks Sts, 20""",983104,186572
20350,"SS - OPP 74 S/S Sullivan St, 2nd SS E/O Van Brunt St, 20""",981016,186055
20650,"SS - W/S 21st Ave, 2nd SS S/O Cropsey Ave, 12""",983827,157189
20750,"SS - S/S Park Ave, BTW Emerson Pl & Steuben St, 16""",994544,192845
20850,"SS - E/S Union Ave, 1st SS N/O Frost St, IFO 568 Union Ave, 20""",997523,200731
20900,"SS - S/S Sands St. BTW Gold St. and Manhattan Brg. Ent. Ramp, OPP 177 Sands St, 48""",988841,194197
20950,"SS - E/S Clinton St, 2nd SS N/O Pierrepont St, IFO 33 Clinton St, 20""",986528,192665
21000,"SS - N/S Pacific St, BTW Buffalo & Rochester Aves, 48""",1004547,185738
21050,"SS - N/S Bergen St, 2nd SS E/O Buffalo Ave, OPP 1770 Bergen St, 12""",1005507,185097
21100,"SS - S/S Willoughby Ave, BTW Clinton & Vanderbilt Aves, 66""",992926,191199
21150,"SS - IFO 413 E/S Classon Ave, BTW Greene & Lexington Aves, 20""",995472,189555
21250,"SS - IFO 747 N/S Lafayette Ave, 2nd SS W/O Throop Ave, 12""",999981,190980
21350,"SS - IFO 1135 W/S Decatur St, 2nd SS N/O Evergreen Ave, 12""",1009575,189833
21400,"SS - IFO 312 E/S Jefferson St, BTW Irving & Knickerbocker Aves, 60""",1004792,195987
21450,"SS - IFO 53 E/S Knickerbocker Ave, 1st SS N/O Grattan St, 20""",1003549,196536
21550,"SS - E/S Eldert La, 2nd SS N/O Stanley Ave, IFO 943 Eldert Ln, 12""",1022514,182222
21650,"SS - IFO 307 E/S 7th Ave, 1st SS N/O 8th St, 12""",989547,182489
21750,"SS - E/S 7th Ave, 1st SS N/O 52nd St, IFO 5115 7th Ave, 12""",982360,172983
21850,"SS - IFO 37 E/S 7th Ave, 1st SS S/O St Johns Pl, 12""",991434,185676
21900,"SS - N/S Eastern Pkwy (S/S of svc. Rd), BTW New York & Brooklyn Aves, IFO 645 Eastern Pkwy.  Median BTW Svc & Main 48""",999127,183310
21950,"SS - IFO 992 W/S Nostrand Ave, 2nd SS S/O Sullivan Pl, 12""",997809,181345
22050,"SS - IFO 130 E/S Humboldt St, 2nd SS S/O Boerum St, 20""",1000578,196313
22250,"SS - IFO 9002 W/S Ft Hamilton Pkwy, 1st SS S/O 90th St, 12""",976873,164479
22300,"SS-E/S 8th Ave BTW 8th & 9th Sts, 72""",990149,181990
22350,"SS - E/S 5th Ave, BTW 49th St & 50th Sts, IFO 4915 5th Ave, 12""",981481,174383
22400,"SS - N/S 65 St, BTW 16th & 17th Aves, IFO 1641 65th St, 60""",985983,165686
22550,"SS - E/S Stillwell Ave, 1st SS N/O Ave S, IFO P.S. 97 OPP 870-86 Stillwell Ave, 20""",988160,158172
22600,"SS - E/S Ft Hamilton Pkwy, BTW 49th & 50th Sts, OPP 4918 Ft. Hamilton Pkwy, 72""",984776,171711
22650,"SS - IFO 5601 E/S Ft Hamilton Pkwy, 1st SS S/O E 56th St, IFO 5517 Ft. Hamilton Pkwy, 20""",983494,170583
22700,"SS - N/S Church Ave, BTW Ocean Pkwy & E 5th St, 48""",991096,174139
22750,"SS - W/S Dahill Rd, 2nd SS S/O 15th Ave, OPP 339 Dahill Rd, 12""",989834,172129
22850,"SS - N/S Beverly Rd, 1st SS E/O E 48th St, IFO 4805 Bevery Rd 16""",1003264,174746
22900,"SS -  W/S Washington Park, BTW Willoughby & Myrtle Aves, OPP 175 Washington Pk, 66""",991547,191369
22950,"SS - N/S Myrtle Ave, 2nd SS E/O N Portland Ave, 20""",991169,191900
23000,"SS - E/S Ocean Pkwy (E/S of Svc Rd), BTW Ave H & Ave I, 60""",992358,167967
23150,"SS - E/S Ocean Pkwy, 2nd SS N/O Ave M, IFO 1257 Ocean Pkwy, 12""",992883,164317
23200,"SS - N/S Caton Ave, BTW E 18th St & St Pauls Pl, 48""",994430,176630
23250,"SS - E/S Ocean Ave, 2nd SS S/O Albemarle Rd, 20""",995298,174737
23350,"SS - W/S Ocean Ave, 2nd SS S/O Ditmas Ave, OPP 985 Ocean Ave, 12""",995651,171892
23450,"SS - N/S Jefferson Ave, 2nd SS W/O Lewis Ave, OPP 518 Jefferson Ave,  20""",1001705,188791
23550,"SS - E/S Nostrand Ave, 2nd SS N/O Ave K, 20""",999091,167177
23650,"SS - E/S Nostrand Ave, 2nd SS N/O Ave W, 20""",1000612,156721
23750,"SS - E/S Ocean Ave, 2nd SS N/O Ave R, IFO 2233 Ocean Ave,  20""",997371,160498
23850,"SS - W/S Ocean Pkwy, 2nd SS S/O Ave V,  IFO 2252 Ocean Pkwy (@ Gravesend Neck, 1st S/O), 20""",993928,155802
23900,"SS - S/S Atlantic Ave, BTW Schenck Ave & Barbey St, 48""",1015080,185857
23950,"SS - S/S Liberty Ave, 1st SS E/O Sheridan Ave,  IFO 1146 Liberty Ave, 12""",1021191,186564
24050,"SS - IFO 2940 W/S Ocean Ave, 2nd SS S/O Ave Y, 16""",998224,154096
24150,"SS - IFO 2220 S/S Atlantic Ave, 2nd SS E/O Hopkinson Ave (Thomas S. Boyland St), 20""",1008575,185680
24250,"SS - W/S 20th Ave, 1st SS S/O 58th St, 12""",989290,165338
24300,"SS - E/S Ocean Pkwy, BTW Ave Z & Belt Pkwy, (median BTW Main & Svc Rd of Ocean Pkwy), 30""",993640,152726
24350,"SS - W/S Brighton 11th St, 2nd SS S/O Cass Pl, IFO 82 Brighton 11th St, 12""",996121,150850
24450,"SS - E/S Brooklyn Ave, 2nd SS S/O Linden Blvd, IFO 887 Brooklyn Ave, 20""",999844,176855
24550,"SS - OPP 4106 N/S Glenwood Rd, 1st SS W/O E 42nd St, 12""",1001869,170545
24650,"SS - N/S Linden Blvd, 1st SS E/O Bristol St, 12""",1009614,177814
24700,"SS - S/S Ave P, BTW Coney Island Ave & E 12th St, (E/O Coney Island Ave), 60""",994790,161491
24750,"SS - IFO 1660 W/S E 13th St, 2nd SS N/O Quentin Rd, 20""",995293,161067
24850,"SS - N/S New Lots Ave, 1st SS W/O Shepherd Ave, 16""",1017701,182613
24950,"SS - IFO 1169 N/S East New York Ave, 2nd SS W/O Ralph Ave, 12""",1005399,182198
25050,"SS - W/S Pennsylvania Ave, 1st SS N/O Hegeman Ave, IFO 718 Penn. Ave, 20""",1014257,179774
25100,"SS - IFO 630 W/S Howard Ave, BTW Sutter & East New York Aves, 60""",1006510,182108
25150,"SS - E/O Mother Gaston Blvd, 2nd SS N/O Livonia Ave, 12""",1010559,181082
25250,"SS - S/S Foster Ave, 2nd SS E/O E 101st St, 20""",1011381,176277
25350,"SS - W/S Remsen Ave, 1st SS N/O Ave M, 20""",1012292,170203
25400,"SS - S/S Pacific St, BTW Franklin & Classon Aves, 48""",996612,186417
25450,"SS - IFO 1030 S/S Park Pl, 2nd SS E/O Brooklyn Ave, 12""",999921,184474
25550,"SS - E/S Bedford Ave, 2nd SS S/O Montgomery St, 20""",996201,181648
25900,"SS - S/S Kings Highway, BTW E 35th & E 36th Sts, 60""",1000853,165505
25950,"SS - E/S Flatbush Ave, 2nd SS N/O Ave R, IFO 2185 Flatbush Ave, 16""",1003601,164002
26300,"SS - W/S Vermont St, BTW Jamaica & Sunnyside Aves, 48""",1013103,186926
26500,"SS - IFO 336 W/S 6th Ave, BTW 3rd and 4th St, 66""",989404,183806
26550,"SS - E/S 4th Ave, 1st SS S/O Sackett St, 20""",989092,186247
26700,"SS - IFO 426 S/S Sterling Pl, BTW Underhill & Washington Aves, 72""",994175,185107
26750,"SS - IFO 1110 N/S President St, 2nd SS E/O Bedford Ave, 12""",997012,182764
26850,"SS - W/S W 37th St, 2nd SS n/O Neptune Ave, 12""",983249,150034
26950,"SS - IFO 1058 N/S Metropolitan Ave, 2nd SS W/O Vandervoort Ave, 20""",1002385,199590
27000,"SS - IFO 383 W/S Hooper St, BTW S 1st & S 2nd Sts, 72""",996850,197261
27350,"SS - OPP 1035 S/S Clarkson Ave, 1st SS W/O E 93rd St, 12""",1005520,179355
27450,"SS - IFO 1915 E/S Ocean Ave, 2nd SS N/O Ave O, 20""",996950,163407
27550,"SS - N/S Farragut Rd, BTW E 81st & E 82nd Sts, 12""",1007600,172230
27600,"SS - E/S Palmetto St, BTW Bushwick & Evergreen Aves, IFO 80 Palmetto St, 60""",1006714,191168
27650,"SS - IFO 59 E/S Patchen Ave, 1st SS S/O Lexington Ave, 20""",1004372,190749
27750,"SS - IFO 165 N/S S 1st St, 2nd SS W/O Driggs Ave, 20""",995052,199303
27850,"SS - IFO 136 S/S Kent St, 2nd SS E/O Franklin St, 20""",996572,205514
28050,"SS - IFO 579 N/S Macon St, 2nd SS W/O Patchen Ave, 20""",1004177,188340
28450,"SS - IFO 2323 NE/S 60th St, 2nd SS W/O McDonald Ave, IFO 2323 60th St, 16""",991065,163335
28550,"SS - E/S W 5th St, 2nd SS S/O Neptune Ave, IFO 2925 W 5th St, 12""",991951,149887
28950,"SS - W/S 14th Ave, 1st SS N/O 52nd St, 20""",986578,169591
29050,"SS - N/S 81st St, 1st SS E/O 19th Ave, 12""",985048,161009
29300,"SS - E/S 5th Ave, BTW 24th & 25th Sts, 66""",985555,179528
29350,"SS - W/S 4th Ave, BTW 28th & 29th Sts, 20""",984246,179280
29450,"SS - IFO 4011 E/S 7th Ave, 1st SS S/O 40th St, 12""",984191,175300
29500,"SS - W/S Ridge Blvd, BTW Bay Ridge Ave & 68th St, 48""",976339,171400
29550,"SS - N/S Bay Ridge Ave, 2nd SS W/O 4th Ave, IFO 335 Bay Ridge Ave 12""",977311,170753
29850,"SS - IFO 1425 E/S Pennsylvania Ave, 2nd SS S/O Schroeders Ave, 20""",1017420,174983
3ISL3,"SS - Wards Island, DEP Water Pollution Control Plant, BTW 1st & 2nd security gates, OPP traffic circle",1005336,225499
3ISL4,"SS - Randalls Island, OPP exit ramp to Qns, next to golf driving range, S/O of Police Launch Repair Shop",1004896,230380
30050,"SS - IFO 8 E/S Centre Market Place, 2nd SS N/O Grand St, 12""",984875,201591
30150,"SS - E/S 1st Ave, 1st SS S/O E 3rd St,  OPP 49 1st Ave, 12""",987725,203176
30250,"SS - OPP 280 N/S Madison St, 2nd SS W/O Montgomery St, 12""",988016,199056
30350,"SS - IFO 90 E/S Pitt St, 2nd SS N/O Rivington St, 12""",989223,201145
30450,"SS - N/S Water St, 2nd SS E/O Catherine Slip, 12""",985554,197941
30550,"SS - E/S Water St, 1st SS S/O Maiden La (IFO Wall St Plaza), 20""",982568,196479
30750,"SS - IFO 269 N/S W 140th St, 2nd SS E/O Frederick Douglass Blvd (8th Ave), 12""",999891,237824
30850,"SS - IFO 230 S/S E 125th St, 2nd SS E/O 3rd Ave, 12""",1002385,231847
30950,"SS - W/S South End Ave, 2nd SS N/O West Thames St, 20""",979476,197553
31050,"SS - IFO 370 W/S Greenwich St, 1st SS N/O Franklin St, 20""",981361,201439
31200,"SS - W/S Amsterdam Ave, BTW W 177th & W 178th Sts, IFO 2374 Amsterdam Ave, 48""",1002902,247504
31350,"SS - E/S Bedford St, 1st SS S/O Grove St, IFO 90 Bedford St, 12""",982777,206084
31450,"SS - IFO 22 N/S Howard St, BTW Crosby & Lafayette Sts, 12""",984155,201407
31550,"SS - OPP 329 S/S W 18th St, 2nd SS E/O 9th Ave, 12""",983716,209861
31650,"SS - N/S E 77th St, 2nd SS W/O 3rd Ave, 12""",995588,221044
31750,"SS - IFO 427 N/S W 26th St, 2nd SS W/O 9th Ave, 12""",983942,212144
31850,"SS - IFO 82 S/S Warren St, 2nd SS E/O Greenwich St, 12""",981300,199881
31950,"SS - IFO 313 N/S W 47th St, 2nd SS W/O 8th Ave, 12""",987340,216552
32050,"SS - IFO 49 N/S W 96th St, 2nd SS W/O Central Park West, 12""",993434,228077
