NTA_large,NTA_small,Shape_Area_ftsq
Stuyvesant Town/Turtle Bay,Stuyvesant Town-Cooper Village,5582283.02
Stuyvesant Town/Turtle Bay,Gramercy,7526926.68
Soundview/Parkchester,Parkchester,9184677.04
Lower East Side/Chinatown,East Village,10894316.12
North Shore,West Brighton,8738769.00
Brooklyn Heights/Fort Greene,Brooklyn Heights-Cobble Hill,9983620.47
North Crown Heights/Prospect Heights,Prospect Heights,10230580.60
University Heights/Fordham,Fordham South,6308875.21
Central Harlem,Central Harlem South,14439304.64
Williamsburg/Greenpoint,Williamsburg,11589988.14
Morningside Heights/Hamilton Heights,Manhattanville,10647077.53
Morrisania/Belmont,Belmont,13557339.87
Morningside Heights/Hamilton Heights,Hamilton Heights,16096135.96
East New York/Starrett City,Starrett City,11598952.32
Pelham Parkway,Bronxdale,15185447.53
Morrisania/Belmont,West Farms-Bronx River,15084986.18
Upper East Side,Yorkville,13602064.14
Jackson Heights,North Corona,18000833.56
Highbridge/South Concourse,Highbridge,16457635.51
East Harlem,East Harlem South,16650687.57
East Flatbush,Erasmus,14522603.59
University Heights/Fordham,Mount Hope,14716710.85
Morrisania/Belmont,Longwood,10732452.18
Sunset Park,Windsor Terrace,14041668.07
Astoria,Old Astoria,15619597.07
Morrisania/Belmont,Melrose South-Mott Haven North,17271780.75
Soundview/Parkchester,Soundview-Bruckner,16253358.29
Jackson Heights,East Elmhurst,19726845.63
Brooklyn Heights/Fort Greene,Fort Greene,16482821.54
Upper West Side,Lincoln Square,15805586.31
Morningside Heights/Hamilton Heights,Morningside Heights,20155865.45
Lower East Side/Chinatown,Chinatown,14501868.16
Borough Park,Kensington-Ocean Parkway,15893304.96
Jamaica,Hollis,22887772.87
Coney Island,Brighton Beach,17180137.76
Riverdale/Kingsbridge,Kingsbridge Heights,13163119.07
Stuyvesant Town/Turtle Bay,Turtle Bay-East Midtown,17389163.83
Ozone Park/Woodhaven,Kew Gardens,20568333.52
Riverdale/Kingsbridge,Van Cortlandt Village,25666125.03
Borough Park,Ocean Parkway South,17782095.76
Washington Heights/Inwood,Washington Heights South,23092823.98
Hillcrest/Fresh Meadows,Fresh Meadows-Utopia,27774853.42
Kingsbridge Heights/Moshulu,Norwood,15724928.32
Bensonhurst,Bath Beach,20534620.81
Brownsville/Ocean Hill,Ocean Hill,20089914.37
Bedford Stuyvesant,Bedford Park-Fordham North,14998883.48
Upper East Side,Upper East Side-Carnegie Hill,20065364.18
Elmhurst/Corona,Corona,20080371.46
Chelsea/Clinton/Midtown,Clinton Hill,20528197.12
University Heights/Fordham,University Heights-Morris Heights,21255485.46
South Crown Heights,Crown Heights South,15989888.79
East New York/Starrett City,East New York (Pennsylvania Ave),19397526.69
Stuyvesant Town/Turtle Bay,Murray Hill-Kips Bay,14485874.77
Ozone Park/Woodhaven,Ozone Park,25016839.19
Morrisania/Belmont,Crotona Park East,16319724.93
Jamaica,Springfield Gardens North,28432652.74
Lower East Side/Chinatown,Lower East Side,23297284.60
Pelham Parkway,Allerton-Pelham Gardens,31693044.33
Pelham Parkway,Pelham Parkway,23032576.14
Flushing/Whitestone,East Flushing,29453683.48
Sunset Park,Sunset Park East,27110066.46
Queens Village,Cambria Heights,33076797.82
Lower East Side/Chinatown,Madison,27379162.08
Bushwick,Bushwick North,24927927.18
Soundview/Parkchester,Westchester-Unionport,23945209.78
Rego Park/Forest Hills,Rego Park,19941713.50
Washington Heights/Inwood,Washington Heights North,22667347.41
Greenwich Village/Financial District,SoHo-TriBeCa-Civic Center-Little Italy,25032687.72
Chelsea/Clinton/Midtown,Midtown-Midtown South,30191534.37
Sunnyside/Woodside,Queensbridge-Ravenswood-Long Island City,23317032.76
Highbridge/South Concourse,East Concourse-Concourse Village,18222401.64
Brownsville/Ocean Hill,Brownsville,32719365.87
Williamsbridge/Baychester,Williamsbridge-Olinville,36273595.38
Sheepshead Bay/Gravesend,Homecrest,29991967.28
Morrisania/Belmont,Morrisania-Melrose,16891753.64
Sunnyside/Woodside,Woodside,28248218.67
Central Harlem,Central Harlem North-Polo Grounds,25403484.05
Riverdale/Kingsbridge,Spuyten Duyvil-Kingsbridge,23214112.68
Flatbush,Midwood,35799574.39
Ozone Park/Woodhaven,Woodhaven,37000431.40
Greenwich Village/Financial District,North Side-South Side,28869768.12
North Crown Heights/Prospect Heights,Stuyvesant Heights,31406935.85
Highbridge/South Concourse,West Concourse,19379817.36
Greenwich Village/Financial District,West Village,24970650.17
Williamsburg/Greenpoint,Greenpoint,35321995.79
Upper West Side,Upper West Side,34379942.50
Sunnyside/Woodside,Jackson Heights,47856882.62
Queens Village,Laurelton,39784922.19
North Crown Heights/Prospect Heights,Prospect Lefferts Gardens-Wingate,31638973.18
Morrisania/Belmont,East Tremont,19255162.73
South Shore,Arden Heights,50410815.85
Morrisania/Belmont,Claremont-Bathgate,16451615.82
Bedford Stuyvesant,Bedford,32629788.98
Hillcrest/Fresh Meadows,Briarwood-Jamaica Hills,29301607.07
North Shore,New Brighton-Silver Lake,47137243.97
Throgs Neck/Co-op City,Co-op City,39833695.00
Flushing/Whitestone,Queensboro Hill,26561788.17
Bay Ridge,Dyker Heights,29911047.21
East Harlem,East Harlem North,24494898.42
Hillcrest/Fresh Meadows,Pomonok-Flushing Heights-Hillcrest,38835956.59
Flatlands/Canarsie,Rugby-Remsen Village,32706946.28
Park Slope/Carroll Gardens,Park Slope-Gowanus,42509226.23
Jamaica,Baisley Park,44038576.44
Riverdale/Kingsbridge,North Riverdale-Fieldston-Riverdale,49048279.09
Queens Village,Bellerose,55184284.56
Jamaica,South Jamaica,39971928.94
Elmhurst/Corona,Elmhurst-Maspeth,21927665.93
Bayside/Little Neck,Auburndale,34164915.08
Astoria,Astoria,39335513.59
Brooklyn Heights/Fort Greene,DUMBO-Vinegar Hill-Downtown Brooklyn-Boerum Hill,28477918.57
Hillcrest/Fresh Meadows,Kew Gardens Hills,37888713.65
South Shore,Rossville-Woodrow,64963357.85
Stuyvesant Town/Turtle Bay,Murray Hill,52488277.85
Queens Village,Glen Oaks-Floral Park-New Hyde Park,45666940.66
Ozone Park/Woodhaven,Richmond Hill,50978396.17
Bensonhurst,Bensonhurst East,35777947.59
Mid-Island,New Dorp-Midland Beach,55429451.12
Chelsea/Clinton/Midtown,Clinton,18362149.28
Hillcrest/Fresh Meadows,Jamaica Estates-Holliswood,42789975.85
East New York/Starrett City,Cypress Hills-City Line,27609750.63
Mott Haven/Hunts Point,Mott Haven-Port Morris,41898533.76
North Crown Heights/Prospect Heights,Crown Heights North,51619074.70
Rego Park/Forest Hills,Forest Hills,57827751.66
South Ozone Park/Howard Beach,South Ozone Park,82461393.53
Elmhurst/Corona,Elmhurst,32675347.57
North Shore,Grymes Hill-Clifton-Fox Hills,37752553.38
Bensonhurst,Bensonhurst West,46670569.51
Flushing/Whitestone,Flushing,37865073.07
Williamsbridge/Baychester,Woodlawn-Wakefield,39738786.39
Flatbush,Flatbush,45254807.50
North Shore,Port Richmond,36422143.64
East Flatbush,East Flatbush-Farragut,34360864.27
Borough Park,Borough Park,54005019.05
Upper East Side,Lenox Hill-Roosevelt Island,21508615.76
Bayside/Little Neck,Ft. Totten-Bay Terrace-Clearview,46292591.44
Sheepshead Bay/Gravesend,Gravesend,31341950.28
Mid-Island,Grasmere-Arrochar-Ft. Wadsworth,40925777.49
Middle Village/Ridgewood,Ridgewood,50495176.29
Flatlands/Canarsie,Flatlands,54341776.20
Bushwick,Bushwick South,40169452.36
Sunnyside/Woodside,Maspeth,35633161.00
Middle Village/Ridgewood,Glendale,30016735.81
North Shore,Westerleigh,63253932.17
Queens Village,Queens Village,69533432.82
Mid-Island,Old Town-Dongan Hills-South Beach,67009381.27
Bayside/Little Neck,Oakland Gardens,51009679.34
Middle Village/Ridgewood,Middle Village,57684905.43
Pelham Parkway,Van Nest-Morris Park-Westchester Square,36302379.26
Bayside/Little Neck,Bayside-Bayside Hills,80798589.95
Jamaica,Jamaica,47308036.55
Flatlands/Canarsie,Canarsie,82098856.61
Greenwich Village/Financial District,Battery Park City-Lower Manhattan,19014298.90
South Shore,Oakwood-Oakwood Beach,55961883.75
Bay Ridge,Bay Ridge,67181046.79
Mott Haven/Hunts Point,Hunts Point,49729963.23
Queens Village,Springfield Gardens South-Brookville,43288489.65
Jamaica,St. Albans,77412748.11
Chelsea/Clinton/Midtown,Hudson Yards-Chelsea-Flatiron-Union Square,37068381.79
Bayside/Little Neck,Douglas Manor-Douglaston-Little Neck,68394169.93
Williamsburg/Greenpoint,East Williamsburg,39132793.82
Coney Island,Seagate-Coney Island,38782030.92
North Shore,Stapleton-Rosebank,46432646.33
Williamsbridge/Baychester,Eastchester-Edenwald-Baychester,40256794.25
Park Slope/Carroll Gardens,Carroll Gardens-Columbia Street-Red Hook,44601379.23
North Shore,West New Brighton-New Brighton-St. George,56030445.13
South Shore,Annadale-Huguenot-Prince's Bay-Eltingville,141057788.40
Mid-Island,Todt Hill-Emerson Hill-Heartland Village-Lighthouse Hill,184881509.10
Sunset Park,Sunset Park West,49990015.98
East New York/Starrett City,East New York,117025692.30
Queens Village,Airport,228199205.62
Rockaways,Breezy Point-Belle Harbor-Rockaway Park-Broad Channel,99436037.04
South Shore,Charleston-Richmond Valley-Tottenville,145674612.03
Flushing/Whitestone,College Point,50553980.64
Rockaways,Far Rockaway-Bayswater,54160419.88
Flatlands/Canarsie,Georgetown-Marine Park-Bergen Beach-Mill Basin,69463730.98
South Shore,Great Kills,89615894.75
Rockaways,Hammels-Arverne-Edgemere,61894959.51
Sunnyside/Woodside,Hunters Point-Sunnyside-West Maspeth,102421815.21
South Ozone Park/Howard Beach,Lindenwood-Howard Beach,64558946.53
Washington Heights/Inwood,Marble Hill-Inwood,17732688.67
North Shore,Mariner's Harbor-Arlington-Port Ivory-Graniteville,89023935.74
Mid-Island,New Springville-Bloomfield-Travis,327768572.86
Morrisania/Belmont,park-cemetery-etc-Bronx,220841105.29
North Crown Heights/Prospect Heights,park-cemetery-etc-Brooklyn,228839409.84
East Harlem,park-cemetery-etc-Manhattan,1543352.45
Sunnyside/Woodside,park-cemetery-etc-Queens,311688895.04
Throgs Neck/Co-op City,Pelham Bay-Country Club-City Island,40134533.27
Queens Village,Rosedale,61569261.15
Throgs Neck/Co-op City,Schuylerville-Throgs Neck-Edgewater Park,88439964.04
Sheepshead Bay/Gravesend,Sheepshead Bay-Gerritsen Beach-Manhattan Beach,63341499.77
Soundview/Parkchester,Soundview-Castle Hill-Clason Point-Harding Park,51983797.50
Stuyvesant Town/Turtle Bay,Steinway,57724460.86
Flushing/Whitestone,Whitestone,69050705.91
